Year,SSB,Rec,B,Catch,f,Acoustic_Index
1,698.6661585,2.365553862,874.0584037,100.3,0.501569305,NA
2,635.4971377,3.730751691,815.6370429,141.4,0.585212553,NA
3,476.4398173,3.899978976,607.5276135,96.9,0.573449454,NA
4,360.8234788,0.89564751,534.2055995,131.7,0.723213378,NA
5,254.7800227,0.979939628,405.4809324,109.3,0.746107899,NA
6,227.8259311,10.00451908,320.6440645,113.9,0.900663665,NA
7,152.476758,11.39226319,287.8860173,88.5,1.064187132,NA
8,93.23889416,0.530047534,322.559322,105.1,1.135398236,NA
9,103.7339623,2.359140738,410.3000334,56.5,0.540625191,NA
10,285.9209092,3.832722325,570.6491691,92.2,0.568492642,NA
11,406.0555856,3.520725844,552.7117649,109.2,0.629366481,NA
12,376.5931401,8.708000177,517.1509181,106.7,0.646605278,NA
13,300.0973104,8.39030722,543.0070673,111.9,0.677929822,NA
14,283.1440266,3.843153838,626.1595314,134.9,0.683748925,NA
15,401.5104127,2.606229594,713.3046769,135.8,0.616566053,NA
16,446.9468811,2.797899337,711.8282672,132.3,0.606295896,NA
17,427.0964598,4.143460268,593.4335552,147.7,0.714347995,NA
18,312.5615588,11.25675956,438.9224889,154.5,0.954971421,NA
19,215.6666003,4.900396533,436.012629,127.7,0.920354928,NA
20,146.2757298,4.994520801,417.6331133,157.5,1.043944661,NA
21,184.6103817,3.219694872,432.319082,129.8,0.837663745,NA
22,204.7677939,7.699977707,353.7049547,155.8,1.259405744,NA
23,181.194081,4.834009579,343.0117581,96.9,0.874416122,NA
24,180.5882574,3.882202159,360.3220567,63.9,0.621851457,NA
25,309.4396756,2.197797429,434.2706703,53.3,0.519722597,NA
26,410.4710599,2.074937162,504.0086484,51.8,0.485225156,1152
27,459.1080176,1.30259732,505.7025915,49.9,0.479910283,921
28,437.0236425,5.210608013,445.0529581,64.3,0.543973216,1387
29,386.8900355,2.060996194,475.2668859,72.9,0.576746108,1034
30,316.700247,4.6255403,421.6775434,87.1,0.642167094,808
31,325.5909121,7.673587707,422.5173864,74.4,0.610382061,714
32,299.3506722,2.497750131,466.6854234,68.7,0.574082423,1195
33,308.5979605,1.398218126,478.1631017,94.7,0.630855285,933
34,386.0615646,0.949185056,442.5669439,79.6,0.596392082,716
35,330.3944668,4.772036351,354.0219143,51.1,0.543170744,544
36,309.024935,3.33289291,376.648646,56.6,0.574606612,619
37,266.5833663,4.455377701,391.311704,44.4,0.505702821,817
38,290.683409,3.253260779,428.0990142,63.8,0.565676921,533
39,290.0066076,1.94125572,406.963238,44.5,0.495231936,1030
40,275.6071305,2.869251601,387.984264,47.5,0.514883515,593
41,297.0697188,3.52517228,400.8791956,51.9,0.529091271,793
42,262.1556763,1.957891112,356.5592055,40.5,0.504423104,654
43,262.3055704,3.783548618,392.091097,51.6,0.527025225,428
44,298.6010825,2.328485257,392.2576555,53.7,0.542910215,651
45,272.296177,1.127325255,398.8322025,53,0.529339861,707
46,261.5242924,1.645100823,348.4427201,51.4,0.546004717,619
47,234.0823911,0.498753398,289.705086,36.7,0.520912225,716
48,221.050389,NA,263.754347,37.2,0.534766858,587
49,183.7188812,NA,228.7231575,29.3,0.53437583,439
50,159.4113215,NA,224.9973027,36.2,0.573273704,591
